,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
45,Auditorio “Antonio Martínez”.,SINALOA,EL FUERTE,"Calle Miguel Hidalgo, Col. Centro, Cd. de El Fuerte.",Cultural Deportivo,100,25,"26°25'19.79""","108°37'9.36""",85,26,25,19.79,108,37,9.36,26.42216389,-108.6192667
46,Esc. Primaria Ángel Flores.,SINALOA,EL FUERTE,"C. Zaragoza y Morelos, Poblado de Mochicahui.",Educativo,200,50,"25°57'9.14""","108°55'47.39""",21,25,57,9.14,108,55,47.39,25.95253889,-108.9298306
47,Escuela Primaria Vicente Lombardo.,SINALOA,EL FUERTE,"Frente al puente, Comunidad La Constancia.",Educativo,400,100,"25°57'55.03""","108°54'17.44""",26,25,57,55.03,108,54,17.44,25.96528611,-108.9048444
48,"ESC. PRIMARIA ""GRAL. JOSÉ AGUILAR BARRAZA"".",SINALOA,ELOTA,"C. FCO. I. MADERO Y SAUL AGUILAR PICO, CD. DE LA CRUZ.",EDUCATIVO,800,200,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49,"ESC. PRIMARIA ""LAURA AGUILAR BARRAZA"".",SINALOA,ELOTA,"C.ANGEL FLORES, COL. MIRAMAR, CD. DE LA CRUZ.",EDUCATIVO,700,175,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50,ESC. PREPARATORIA U.A.S. DE LA CRUZ.,SINALOA,ELOTA,"C. PEDRO INFANTE Y C. ÁNGEL FLORES, CD. DE LA CRUZ.",EDUCATIVO,"1,000",250,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51,ALBERGUE SEDESOL.,SINALOA,ELOTA,CD. DE LA CRUZ.,SOCIAL,"1,000",250,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,"ESC. SECUNDARIA ""MARÍA GERTRUDIS SAMBLE CASTRO"".",SINALOA,ELOTA,CD. DE LA CRUZ.,EDUCATIVO,700,175,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
53,Gimnasio Municipal.,SINALOA,ESCUINAPA,"Av. De la Juventud, esquina con Fco. I. Madero, Cd. de Escuinapa.",Deportivo,"2,500",625,"22°49'41.80""","105°46'32.84""",23,22,49,41.80,105,46,32.84,22.82827778,-105.7757889
54,Antiguo COBAES 42.,SINALOA,ESCUINAPA,"Centro Educativo Toledo Corro, Salida Carretera a Teacapán, Cd. de Escuinapa.",Educativo,400,100,"22°48'59.78""","105°47'35.44""",13,22,48,59.78,105,47,35.44,22.81660556,-105.7931778
